step,drift_serial,drift_parallel
1,-0.00014723392826097045,0.0
2,-0.00029234326493512606,-0.00014513070483794017
3,-0.0004351855566635427,-0.00028799403089505666
4,-0.0005756214992013822,-0.00042845065341317966
5,-0.0007135151272252896,-0.000566364587047298
6,-0.0008487339981946318,-0.0007016033697538714
7,-0.0009811493699499413,-0.0008340382404154271
8,-0.00111063637173697,-0.0009635443098897981
9,-0.0012370741683716963,-0.0010900007251993043
10,-0.0013603461172640237,-0.0012132908265775732
11,-0.0014803399180502615,-0.0013333022971240558
12,-0.0015969477545721442,-0.0014499273048039529
13,-0.001710066428987355,-0.001563062636578486
14,-0.0018195974877997928,-0.0016726098244537245
15,-0.0019254473396085232,-0.0017784752632468755
16,-0.002027527364400922,-0.0018805703198955207
17,-0.002125754014231752,-0.0019788114341515194
18,-0.002220048905151958,-0.00207312021052334
19,-0.0023103389002564916,-0.002163423501336115
20,-0.0023965561837530967,-0.002249653480811332
21,-0.002478638325967323,-0.0023317477100814215
22,-0.0025565283392155313,-0.0024096491930709874
23,-0.002630174724497924,-0.0024833064231967166
24,-0.0026995315089925935,-0.0025526734208669447
25,-0.002764558274321245,-0.002617709761751544
26,-0.0028252201756161902,-0.0026783805958517253
27,-0.0028814879514139136,-0.0027346566573950566
28,-0.0029333379243979925,-0.0027865142655784983
29,-0.0029807519930958788,-0.002833935316263959
30,-0.003023717614567048,-0.0028769072646638964
31,-0.003062227778219248,-0.002915423099153709
32,-0.003096280970854068,-0.0029494813063121583
33,-0.0031258811330746455,-0.0029790858273226585
34,-0.0031510376071964,-0.003004246005876337
35,-0.0031717650768578135,-0.0030249765277739244
36,-0.0031880834984831003,-0.00304129735237833
37,-0.003200018024797188,-0.003053233636118362
38,-0.0032075989206221487,-0.003060815648272756
39,-0.003210861471161927,-0.003064078679241402
40,-0.003209845883014199,-0.003063062941542622
41,-0.0032045971781661867,-0.0030578134637933795
42,-0.0031951650812384424,-0.0030483799779364557
43,-0.003181603900238717,-0.00303481679997676
44,-0.0031639724011133436,-0.0030171827045142397
45,-0.003142333676396016,-0.0029955407933733203
46,-0.0031167550082528577,-0.0029699583586277997
47,-0.0030873077262228987,-0.0029405067403203834
48,-0.0030540670599847057,-0.0029072611792076305
49,-0.0030171119874670567,-0.002870300664848262
50,-0.002976525078639674,-0.0028297077793708906
51,-0.0029323923353005324,-0.0027855685372377395
52,-0.002884803027230884,-0.002737972221375536
53,-0.002833849525026326,-0.002687011215981966
54,-0.002779627129960706,-0.002632780836364524
55,-0.0027222339012431826,-0.002575379156172137
56,-0.00266177048100988,-0.0025149068323610485
57,-0.002598339917359717,-0.002451466928204588
58,-0.0025320474858612084,-0.002385164734773688
59,-0.0024630005097987695,-0.00231610759115672
60,-0.002391308179534595,-0.002244404703794772
61,-0.002317081371342392,-0.002170166965288703
62,-0.0022404324660224273,-0.0020935067729874845
63,-0.0021614751676386997,-0.0020145378476986763
64,-0.0020803243227181536,-0.0019333750528610176
65,-0.0019970957402367577,-0.0018501342145039986
66,-0.0019119060126689155,-0.001764931942270919
67,-0.00182487233847136,-0.0016778854518766412
68,-0.0017361123462549582,-0.001589112389253506
69,-0.001645743920974664,-0.001498730656715687
70,-0.0015538850323729145,-0.0014068582413773285
71,-0.0014606535660124987,-0.0013136130461605293
72,-0.0013661671571432604,-0.001219112723637584
73,-0.0012705430276329073,-0.0011234745129377777
74,-0.0011738978262550138,-0.0010268150800118712
75,-0.0010763474725269688,-0.000929250361447052
76,-0.00097800700435772,-0.000830895412092246
77,-0.0008789904297091475,-0.0007318642566976443
78,-0.0007794105824605366,-0.0006322697457579547
79,-0.0006793789826607243,-0.0005322234157439663
80,-0.0005790057013989339,-0.000431835353953488
81,-0.00047839923039640775,-0.00033121406808377655
82,-0.00037766635648602676,-0.0002304663606926731
83,-0.0002769120411580634,-0.00012969720872661823
84,-0.00017623930526132971,-2.9009648204821927e-05
85,-7.574911898007938e-05,7.14953358200362e-05
86,2.4459702786684118e-05,0.00017171891389790447
87,0.00012429059958583057,0.00027156451135658437
88,0.00022364935901648673,0.00037093790192189806
89,0.00032244420470689306,0.0004697472957075005
90,0.000420585878648892,0.0005679034215614918
91,0.0005179877177973875,0.0006653196036771564
92,0.0006145657249681378,0.0007619118325011959
93,0.0007102386339504113,0.0008575988298559735
94,0.0008049279689077797,0.0009523021083490537
95,0.0008985580980076218,0.0010459460250106035
96,0.000991056281319879,0.001138457829199202
97,0.0010823527130787314,0.0012297677048697382
98,0.001172380558224476,0.0013198088071206722
99,0.001261075983413703,0.001408517293208776
100,0.0013483781824482892,0.001495832347981873
101,0.0014342293962729023,0.0015816962038792855
102,0.001518574927580421,0.0016660541555394072
103,0.0016013631501370716,0.0017488545691262116
104,0.0016825455129242171,0.0018300488864716525
105,0.0017620765391948795,0.0019095916241320453
106,0.0018399138205797004,0.0019874403674931614
107,0.001916018006309951,0.0020635557599916507
108,0.0019903527878064905,0.0021379014877017303
109,0.0020628848786500313,0.002210444259302501
110,0.0021335839901116148,0.0022811537816048184
111,0.002202422802434155,0.0023500027308286093
112,0.0022693769319820137,0.0024169667197476087
113,0.0023344248944037645,0.0024820242608466986
114,0.002397548064006561,0.002545156725690295
115,0.0024587306295093033,0.0026063483006689976
116,0.002517959546274941,0.0026655859392248605
117,0.00257522448529713,0.002722859310830536
118,0.0026305177790486274,0.002778160746829694
119,0.0026838343643879586,0.002831485183335284
120,0.0027351717226785743,0.002882830101339874
121,0.0027845298173541713,0.0029321954642717754
122,0.002831911029076715,0.00297958365314352
123,0.002877320088631197,0.0030249993994367337
124,0.002920764007821638,0.0030684497159879647
125,0.0029622520084773576,0.0031099438259844987
126,0.003001795449762018,0.0031494930902626985
127,0.003039407754012431,0.0031871109331358905
128,0.00307510433119639,0.0032228127668410722
129,0.003108902502250387,0.00325661591486534
130,0.003140821421394282,0.0032885395342491216
131,0.003170881997664908,0.0033186045371082214
132,0.0031991068157461475,0.0033468335114522443
133,0.003225520056356865,0.003373250641560801
134,0.0032501474162757453,0.0033978816279965716
135,0.003273016028189372,0.0034207536074415787
136,0.0032941543805219235,0.0034418950725150824
137,0.003313592237390645,0.00346133579171726
138,0.0033313605588032903,0.0034791067296149015
139,0.003347491421269397,0.0034952399674409887
140,0.003362017938952539,0.0035097686242353426
141,0.003374974185452828,0.003522726778615604
142,0.0033863951164125354,0.0035341493913714586
143,0.0033963164929870083,0.0035440722289242837
144,0.003404774806357772,0.0035525317878291364
145,0.003411807203351644,0.0035595652203829127
146,0.0034174514132698534,0.0035652102614426922
147,0.0034217456760640163,0.0035695051565911395
148,0.0034247286718948502,0.003572488591684842
149,0.003426439452195367,0.0035741996239073543
150,0.003426917372301117,0.0035746776143895202
151,0.0034262020257257958,0.0035739621624754033
152,0.0034243331801444045,0.0035720930416960174
153,0.003421350715162773,0.003569110137529688
154,0.0034172945619073197,0.0035650533869829156
155,0.0034122046444948428,0.003559962720051549
156,0.003406120823437867,0.0035538780031177967
157,0.0033990828410146294,0.0035468389843121696
158,0.0033911302686342936,0.0035388852408709424
159,0.00338230245624977,0.0035300561285415274
160,0.003372638483803282,0.0035203907330208888
161,0.003362177114777705,0.003509927823500042
162,0.0033509567518112435,0.0034987058082721952
163,0.0033390153944274467,0.0034867626924565413
164,0.0033263905988772883,0.0034741360378344223
165,0.0033131194400662428,0.0034608629247707997
166,0.0032992384756172183,0.003446979916271898
167,0.0032847837119979665,0.0034325230241076224
168,0.003269790572755519,0.003417527677041321
169,0.003254293868810945,0.0034020286911201655
170,0.0032383277708163145,0.0033860602420280467
171,0.0032219257835215,0.0033696558394485997
172,0.00320512072216189,0.0033528483034494403
173,0.0031879446908142663,0.0033356697428348556
174,0.003170429062687478,0.0033181515354335756
175,0.003152604462341625,0.003300324310315338
176,0.0031345007497505083,0.003282217931850994
177,0.0031161470062201994,0.0032638614856289987
178,0.0030975715220811282,0.003245283266145693
179,0.003078801786131541,0.003226510766247202
180,0.003059864476780706,0.0032075706682713405
181,0.003040785454847298,0.0031884888368449334
182,0.0030215897579501435,0.0031692903132737368
183,0.0030023015964647536,0.003149999311498375
184,0.0029829443509679734,0.0031306392155386158
185,0.002963540571143806,0.0031112325783990277
186,0.00294411197606882,0.0030918011223544364
187,0.002924679455845298,0.003072365740583309
188,0.0029052630745240856,0.0030529465000910354
189,0.002885882074247639,0.0030335626458535842
190,0.0028665548805643037,0.0030142326061325673
191,0.002847299108867239,0.0029949739989151096
192,0.0028281315718940354,0.00297580363941457
193,0.002809068288221421,0.002956737548566504
194,0.002790124491724738,0.002937790962489525
195,0.0027713146419112594,0.002918978342820152
196,0.002752652435115924,0.0029003133879101847
197,0.0027341508164534538,0.0028818090447805854
198,0.0027158219925224637,0.00286347752182746
199,0.002697677444781744,0.0028453303022003074
200,0.002679727943538778,0.0028273781577926
